 TIME , 2009 ,  , 2010 ,  , 2011 ,  , 2012 ,  , 2013 ,  , 2014 ,  , 2015 ,  , 2016 ,  , 2017 ,  , 2018 ,  
 GEO (Labels) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 European Union - 27 countries (from 2020) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 European Union - 28 countries (2013-2020) , 1.90 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 European Union - 27 countries (2007-2013) , 1.90 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 Euro area - 19 countries  (from 2015) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 Euro area - 18 countries (2014) , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.80 ,  , 1.90 ,  , : ,  , : ,  
 Belgium , 3.00 ,  , 2.70 ,  , 2.50 ,  , 2.30 ,  , 2.20 ,  , 2.20 ,  , 2.20 ,  , 2.10 ,  , 2.00 ,  , : ,  
 Bulgaria , 1.60 ,  , 1.50 ,  , 1.40 ,  , 1.60 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  , 1.50 ,  
 Czechia , 2.80 ,  , 2.90 ,  , 2.70 ,  , 2.50 ,  , 2.70 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  , 2.40 ,  , 2.30 ,  
 Denmark , 2.70 ,  , 2.60 ,  , 2.60 ,  , 2.80 ,  , 3.40 ,  , 3.40 ,  , 2.90 ,  , 3.00 ,  , 2.60 ,  , 2.60 ,  
 Germany (until 1990 former territory of the FRG) , 2.30 ,  , 2.30 ,  , 2.30 ,  , 2.20 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , : ,  
 Germany including former GDR , 2.30 ,  , 2.30 ,  , 2.30 ,  , 2.20 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , : ,  
 Estonia , 2.40 ,  , 2.20 ,  , 2.30 ,  , 2.40 ,  , 2.50 ,  , 2.40 ,  , 2.60 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  
 Ireland , 0.70 ,  , 0.70 ,  , 0.60 ,  , 0.60 ,  , 0.60 ,  , 0.60 ,  , 0.70 ,  , 0.70 ,  , 0.70 ,  , : ,  
 Greece , 1.20 ,  , 1.20 ,  , 1.10 ,  , 1.30 ,  , 1.50 ,  , 1.30 ,  , 1.40 ,  , 1.00 ,  , 1.80 ,  , : ,  
 Spain , 2.10 ,  , 2.20 ,  , 2.20 ,  , 2.20 ,  , 2.00 ,  , 2.20 ,  , 2.10 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  
 France , 2.00 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , : ,  , : ,  
 France (metropolitan) , : ,  , 2.10 ,  , 2.10 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Croatia , 1.20 ,  , 1.20 ,  , 1.30 ,  , 1.30 ,  , 1.40 ,  , 1.40 ,  , 1.40 ,  , 1.70 ,  , 1.50 ,  , 1.50 ,  
 Italy , 0.90 ,  , 0.90 ,  , 0.90 ,  , 0.90 ,  , 0.90 ,  , 0.90 ,  , 1.40 ,  , 1.60 ,  , 1.50 ,  , 1.50 ,  
 Cyprus , 2.20 ,  , 2.30 ,  , 2.30 ,  , 2.40 ,  , 2.20 ,  , 2.20 ,  , 2.10 ,  , 2.30 ,  , 2.20 ,  , : ,  
 Latvia , 2.40 ,  , 2.40 ,  , 4.00 ,  , 3.60 ,  , 3.50 ,  , 3.10 ,  , 2.60 ,  , 3.10 ,  , 3.10 ,  , 3.10 ,  
 Lithuania , 2.90 ,  , 3.20 ,  , 3.40 ,  , 3.50 ,  , 3.40 ,  , 3.30 ,  , 3.20 ,  , 3.10 ,  , 3.00 ,  , 3.10 ,  
 Luxembourg , 2.10 ,  , 2.10 ,  , 2.30 ,  , 2.00 ,  , 2.10 ,  , 2.60 ,  , 2.40 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  
 Hungary , 2.40 ,  , 2.40 ,  , 2.30 ,  , 2.20 , b , 2.00 ,  , 2.00 ,  , 2.10 ,  , 2.00 ,  , 1.90 ,  , 1.70 ,  
 Malta , : ,  , : ,  , 0.10 ,  , 1.10 ,  , 0.80 ,  , 0.70 ,  , 0.80 ,  , 0.80 ,  , 0.70 ,  , 0.70 ,  
 Netherlands , 1.90 ,  , 2.00 ,  , 2.00 ,  , 2.10 ,  , 2.00 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.80 ,  
 Austria , 2.30 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 1.80 ,  , 1.80 ,  , 1.80 ,  
 Poland , 1.70 ,  , 1.60 ,  , 1.70 , b , 1.70 ,  , 1.70 ,  , 1.70 ,  , 1.80 ,  , 1.70 ,  , 1.70 ,  , 1.70 ,  
 Portugal , 2.50 ,  , 2.60 ,  , 2.50 ,  , 2.40 ,  , 2.20 ,  , 2.10 ,  , 2.30 ,  , 2.20 ,  , 2.10 ,  , 2.00 ,  
 Romania , 1.60 ,  , 1.60 ,  , 1.80 ,  , 1.60 ,  , 1.40 ,  , 1.40 ,  , 1.60 ,  , 1.50 ,  , 1.60 ,  , 1.60 ,  
 Slovenia , 1.10 ,  , 1.20 ,  , 1.10 ,  , 1.20 ,  , 1.10 ,  , 1.20 ,  , 1.20 ,  , 1.20 ,  , 1.20 ,  , 1.10 ,  
 Slovakia , 2.40 ,  , 2.20 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.80 ,  , 1.70 ,  , 1.80 ,  , 1.80 ,  
 Finland , 2.50 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  , 2.50 ,  , 2.50 ,  , 2.50 ,  , 2.50 ,  , 2.40 ,  , 2.40 ,  
 Sweden , 2.40 ,  , 2.50 ,  , 2.50 ,  , 2.50 ,  , 2.80 ,  , 2.70 ,  , 2.50 ,  , 2.40 ,  , 2.40 ,  , 2.50 ,  
 United Kingdom , 2.00 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.70 ,  , 1.80 ,  , : ,  , : ,  
" European Economic Area (EU28 - 2013-2020 and IS, LI, NO) ", 1.90 ,  , 2.00 ,  , 2.00 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
" European Economic Area (EU27 - 2007-2013 and IS, LI, NO) ", 1.90 ,  , 2.00 ,  , 2.00 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 European Free Trade Association , 2.30 ,  , 2.50 ,  , 2.10 , b , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Iceland , 1.70 ,  , 1.80 ,  , 1.60 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Liechtenstein , 2.70 ,  , 2.40 ,  , 2.50 ,  , 2.40 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Norway , 2.10 ,  , 2.10 ,  , 2.10 ,  , 2.00 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  , 1.90 ,  , 2.00 ,  , 1.90 ,  
 Switzerland , 2.50 ,  , 2.80 ,  , 2.20 , b , 2.20 ,  , 2.10 ,  , 2.00 ,  , 2.10 ,  , 2.00 ,  , 1.90 ,  , 1.90 ,  
 Montenegro , 0.70 ,  , 0.80 ,  , 0.80 ,  , 0.80 ,  , 0.80 ,  , 0.90 ,  , 0.90 ,  , 1.10 ,  , 1.20 ,  , 1.40 ,  
 North Macedonia , 0.60 ,  , 0.80 ,  , 0.90 ,  , 0.90 ,  , 1.00 ,  , 1.10 ,  , 1.00 ,  , 1.00 ,  , 1.00 ,  , 0.80 ,  
 Albania , : ,  , : ,  , : ,  , : ,  , : ,  , 1.50 ,  , 1.30 ,  , 1.90 ,  , 1.60 ,  , 1.70 ,  
 Serbia , 1.20 ,  , 0.90 ,  , 1.10 , b , 1.00 ,  , 1.10 ,  , 1.10 ,  , 1.30 ,  , 1.30 ,  , 1.30 ,  , 1.40 ,  
 Turkey , 1.60 ,  , 1.60 ,  , 1.60 ,  , 1.60 ,  , 1.60 ,  , 1.70 ,  , 1.70 ,  , 1.60 ,  , 1.60 ,  , 1.70 ,  
 Belarus , 3.70 ,  , 3.90 ,  , 4.10 ,  , 4.10 ,  , 3.80 ,  , 3.70 ,  , 3.50 ,  , 3.40 ,  , 3.40 ,  , 3.50 ,  
 Bosnia and Herzegovina , 0.40 ,  , 0.40 ,  , : ,  , 0.60 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Kosovo (under United Nations Security Council Resolution 1244/99) , 0.70 ,  , : ,  , 0.80 ,  , 0.70 ,  , : ,  , : ,  , 0.70 ,  , 0.60 ,  , 0.60 ,  , 0.60 ,  
 Moldova , 3.30 ,  , 3.20 ,  , 3.10 ,  , 3.00 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Monaco , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Russia , 4.90 ,  , 4.50 ,  , 4.70 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 San Marino , : ,  , : ,  , 2.50 ,  , 1.50 ,  , : ,  , : ,  , : ,  , : ,  , : ,  , : ,  
 Ukraine , 3.20 ,  , 2.80 ,  , 1.40 ,  , 1.10 ,  , : ,  , : ,  , 3.00 ,  , 3.10 ,  , 3.00 ,  , 3.70 ,  
 Armenia , 0.90 ,  , 0.90 ,  , 1.00 ,  , : ,  , : ,  , : ,  , 1.20 ,  , 1.20 ,  , : ,  , 1.30 ,  
 Azerbaijan , 0.90 ,  , 1.00 ,  , 1.20 ,  , 1.20 ,  , 1.20 ,  , 1.30 ,  , 1.30 ,  , 1.30 ,  , 1.50 ,  , 1.50 ,  
 Georgia , 0.90 ,  , 1.10 ,  , 1.30 ,  , : ,  , : ,  , 2.20 ,  , 2.40 ,  , 2.60 ,  , 2.70 ,  , 2.80 ,  